CHARTER,VALID,AA_SIG,AS_SIG,HI_SIG,WH_SIG,SD_SIG,YR_RND,ACS_CORE,AVG_ED,NUMTEACH,FULL_PCT,EMER_PCT,WVR_PCT,YRS_TEACH,YRONE_TCH,YRTWO_TCH,API
?,1296,No,Yes,Yes,Yes,Yes,No,28,3.29,95,0.957894,0.010526,0.010526,15.48421,8,3,High
Y,108,No,No,No,No,No,No,20,2.77,18,0.888888,0,0,6.888888,4,2,Low
?,899,No,No,No,Yes,No,No,34,3.91,41,1,0,0.04878,11.804878,1,2,High
?,51,No,No,No,No,No,?,?,3.13,8,1,0,0,14.875,0,0,?
?,11,No,No,No,No,No,No,17,2.83,9,0.888888,0.111111,0,6,0,1,?
?,48,No,No,No,No,No,No,13,3.26,8,1,0,0,10,0,1,?
?,1375,Yes,No,Yes,Yes,Yes,No,31,2.77,85,0.988235,0.023529,0,13.517647,5,5,Low
?,1303,No,Yes,Yes,Yes,No,No,33,3.95,84,1,0.011904,0.023809,14.72619,3,5,High
?,66,No,No,No,No,No,No,16,2.71,12,0.916666,0.083333,0,15.666666,0,0,?
?,?,?,?,?,?,?,No,15,2.38,3,1,0,0,6,0,0,?
?,70,No,No,No,No,No,No,26,2.46,7,1,0,0,9.571428,0,1,?
?,1520,No,No,Yes,Yes,Yes,No,27,2.85,100,0.96,0,0,11.37,2,7,High
?,?,?,?,?,?,?,?,?,?,1,1,0,0,9,0,0,?
?,14,No,No,No,No,No,No,11,2.68,2,1,0,0,30,0,0,Low
?,?,?,?,?,?,?,No,18,1.7,1,1,0,0,3,0,0,?
?,?,?,?,?,?,?,No,22,2.79,22,0.772727,0,0,11.90909,2,3,?
?,121,No,No,Yes,Yes,Yes,No,21,2.45,14,0.928571,0,0,10.571428,1,2,High
Y,225,Yes,No,Yes,Yes,Yes,No,18,2.31,19,0.842105,0,0,4.789473,2,2,Low
Y,123,No,No,No,Yes,Yes,No,20,3.04,15,0.8,0.133333,0,3.666666,7,2,Low
Y,109,No,No,No,No,Yes,No,?,2.88,8,0.75,0,0,4,0,1,Low
Y,149,No,No,Yes,No,Yes,No,22,1.66,12,0.5,0.25,0,4.166666,4,1,Low
?,1207,Yes,No,Yes,Yes,Yes,No,27,2.88,84,0.916666,0.059523,0,10.95238,10,3,Low
D,670,Yes,No,Yes,No,Yes,No,28,2.78,41,0.682926,0,0.02439,5.365853,3,7,High
?,296,Yes,No,Yes,No,Yes,No,29,2.47,20,0.95,0.2,0,4.8,3,3,Low
?,93,No,No,No,No,Yes,No,19,2.32,13,1,0.076923,0,11.230769,1,0,?
?,141,No,No,Yes,No,Yes,?,?,2.07,13,1,0.076923,0,13.692307,1,0,Low
?,611,No,Yes,Yes,Yes,Yes,No,29,3.2,34,0.941176,0.117647,0,10.117647,5,3,High
?,1338,Yes,Yes,Yes,No,Yes,No,22,2.04,119,0.882352,0.042016,0,7.756302,12,13,Low
?,1195,Yes,Yes,Yes,Yes,Yes,No,22,1.9,110,0.9,0.081818,0,11.481818,8,11,Low
?,1513,Yes,Yes,Yes,Yes,Yes,No,28,3.03,97,0.969072,0.061855,0.010309,11.56701,3,5,High
?,1437,No,Yes,Yes,Yes,Yes,No,28,3.04,94,0.946808,0.031914,0,11.478723,10,6,High
?,820,No,No,Yes,Yes,Yes,No,31,2.8,49,1,0.020408,0,15.061224,1,1,Low
?,44,No,No,No,No,No,No,16,2.6,11,0.90909,0,0,7.181818,2,1,?
?,?,?,?,?,?,?,No,8,3.14,4,1,0,0,6,1,0,?
?,71,No,No,No,Yes,No,No,10,3.1,15,1,0,0,17.2,0,0,Low
?,32,No,No,No,No,No,?,?,2.16,11,0.727272,0,0,5.454545,1,3,?
?,13,No,No,No,No,No,No,17,2,7,1,0,0,8.571428,3,0,?
?,1258,No,No,Yes,Yes,Yes,No,31,3.63,70,0.957142,0.014285,0,12.371428,3,4,High
D,351,No,No,Yes,Yes,Yes,Yes,27,2.57,40,0.775,0.175,0,5.325,3,7,Low
Y,1636,No,No,Yes,Yes,Yes,No,8,3.1,138,1,0,0,8.57971,3,3,Low
Y,123,No,No,No,Yes,No,No,13,3.01,22,0.954545,0.045454,0,9.181818,2,1,Low
?,1212,No,No,Yes,Yes,Yes,No,31,3.19,67,1,0.014925,0,14.358208,3,2,High
?,1240,No,No,Yes,Yes,Yes,No,31,3.23,70,1,0.042857,0,14.714285,6,4,High
?,1208,No,No,Yes,Yes,Yes,No,31,3.49,64,0.953125,0.03125,0,12.703125,11,3,High
?,428,Yes,No,Yes,Yes,Yes,No,27,2.42,39,1,0,0.025641,10.102564,7,1,Low
?,1098,No,Yes,Yes,Yes,Yes,No,29,3.52,72,0.972222,0.027777,0,9.791666,7,3,High
?,1121,No,No,Yes,Yes,Yes,No,30,3.92,69,0.971014,0.028985,0,10.507246,10,4,High
