CHARTER,VALID,AA_SIG,AS_SIG,HI_SIG,WH_SIG,SD_SIG,YR_RND,ACS_CORE,AVG_ED,NUMTEACH,FULL_PCT,EMER_PCT,WVR_PCT,YRS_TEACH,YRONE_TCH,YRTWO_TCH,API
?,381,Yes,No,No,No,Yes,No,?,3.1,32,1,0,0,13.40625,0,1,Low
?,539,Yes,No,Yes,No,Yes,No,?,2.3,43,1,0,0,12.790697,0,2,Low
?,296,No,No,Yes,No,Yes,No,?,2.53,26,1,0,0,10.384615,0,2,Low
?,297,No,Yes,Yes,Yes,Yes,No,?,3.6,24,0.916666,0,0,14.75,2,0,High
?,297,Yes,No,Yes,No,Yes,No,?,2.18,28,0.928571,0,0,14.571428,1,1,Low
?,102,No,No,Yes,No,Yes,No,?,1.46,9,1,0,0,10.555555,0,1,Low
?,244,Yes,No,No,No,Yes,No,?,3.15,20,1,0,0,10.7,0,1,Low
?,180,No,No,Yes,No,Yes,No,?,2.25,18,1,0,0,17.444444,0,1,Low
?,286,No,No,Yes,Yes,Yes,No,?,3.36,26,1,0,0,16.615384,0,2,High
?,329,No,No,Yes,No,Yes,No,?,1.89,30,1,0,0,11.066666,0,4,Low
?,417,No,No,Yes,No,Yes,No,?,1.89,37,0.972972,0,0,11.297297,1,0,Low
?,428,No,No,Yes,No,Yes,Yes,?,1.91,40,1,0,0,12.15,1,1,High
?,674,No,No,Yes,No,Yes,No,?,1.61,45,1,0,0,11.733333,0,4,Low
?,236,No,No,Yes,No,Yes,No,?,2.58,22,1,0,0,14.363636,0,0,Low
?,143,Yes,No,No,No,Yes,No,?,2.63,14,1,0,0,7.071428,1,2,Low
?,359,Yes,No,No,No,Yes,No,?,3.28,29,0.965517,0,0,12.965517,1,1,High
?,252,No,No,Yes,No,Yes,No,?,2.45,22,1,0,0,15.454545,1,0,Low
?,447,No,No,Yes,No,Yes,No,?,1.71,40,1,0,0,12.95,1,0,Low
?,580,No,No,Yes,No,Yes,No,?,2.03,49,1,0,0,12.571428,1,1,Low
?,430,No,No,Yes,No,Yes,No,?,2.08,35,1,0,0,13.142857,1,3,Low
?,371,No,Yes,Yes,Yes,Yes,No,?,3.59,29,0.965517,0,0,15.620689,1,0,High
?,232,No,No,Yes,Yes,Yes,No,?,2.49,19,1,0,0,13.421052,1,0,High
?,588,No,No,Yes,No,Yes,No,?,1.26,52,1,0.01923,0,15.096153,2,1,Low
?,227,No,No,Yes,No,Yes,No,?,2.08,21,1,0,0,14.428571,0,1,Low
?,263,No,No,Yes,No,Yes,No,?,2.11,24,1,0,0,15.291666,1,2,Low
?,380,No,No,Yes,No,Yes,No,?,2.69,32,1,0,0,13.0625,1,1,Low
?,302,No,No,Yes,No,Yes,No,?,2.18,26,1,0,0,15.846153,0,2,Low
?,143,Yes,No,Yes,No,Yes,No,?,2.4,16,1,0,0,9.9375,1,2,Low
?,350,No,No,Yes,No,Yes,No,?,1.86,30,0.966666,0,0,13.933333,1,1,Low
?,932,Yes,Yes,Yes,Yes,Yes,No,?,3.13,55,1,0,0,12.363636,0,7,High
?,217,No,No,Yes,No,Yes,No,?,1.75,24,1,0,0,12.416666,0,1,Low
?,591,No,No,Yes,No,Yes,Yes,?,2.19,47,1,0,0,15.106382,0,4,Low
?,226,Yes,No,No,No,Yes,No,?,3.32,18,1,0,0,16.722222,1,0,Low
?,166,No,No,Yes,No,Yes,No,?,2,16,1,0,0,16.8125,0,0,Low
?,192,No,No,Yes,No,Yes,No,?,2.24,19,1,0,0,14.105263,1,1,Low
?,304,No,No,Yes,No,Yes,No,?,2.21,26,1,0,0,15.538461,0,0,Low
?,716,No,No,Yes,No,Yes,Yes,?,2.32,57,1,0,0,13.473684,0,4,Low
?,324,No,No,Yes,No,Yes,No,?,2.46,27,1,0,0,14.888888,0,0,Low
?,697,Yes,No,Yes,No,Yes,No,?,1.86,55,0.981818,0,0,10.472727,0,0,Low
?,217,No,No,Yes,Yes,Yes,No,?,2.93,23,1,0,0,11.217391,2,0,High
?,381,No,No,Yes,No,Yes,No,?,2.05,32,1,0,0,14.25,0,2,Low
?,284,No,No,Yes,No,Yes,No,?,2.2,29,1,0,0,14.75862,1,0,Low
?,266,No,No,Yes,No,Yes,No,?,2.25,26,1,0,0,13.115384,0,0,Low
?,645,No,Yes,Yes,No,Yes,Yes,?,2.58,53,1,0,0,10.415094,3,3,High
?,222,No,No,Yes,Yes,No,No,?,3.8,20,1,0,0,11.9,0,1,High
?,334,No,No,Yes,Yes,Yes,No,?,3.35,29,1,0,0,13.206896,0,4,High
?,261,No,No,Yes,Yes,Yes,No,?,3.2,25,1,0,0,13.72,0,1,Low
?,625,No,No,Yes,No,Yes,Yes,?,1.97,51,1,0,0,13.588235,0,2,Low
?,207,No,No,No,Yes,Yes,No,?,3.78,21,1,0,0,11.619047,1,1,High
?,503,No,No,Yes,No,Yes,No,?,1.83,47,1,0,0,13.319148,1,2,Low
?,384,No,No,Yes,No,Yes,No,?,1.97,33,1,0,0,13.454545,1,1,High
?,715,No,No,Yes,No,Yes,No,?,2.45,56,1,0,0,12.321428,2,4,Low
Y,229,No,No,No,Yes,No,No,?,4.28,17,1,0,0,13.058823,0,1,High
?,259,No,No,Yes,Yes,Yes,No,?,2.55,25,1,0,0,12.12,1,2,High
?,727,No,No,Yes,No,Yes,No,26,2.95,49,1,0,0,12.530612,1,0,High
?,536,No,No,No,Yes,No,No,?,4.04,40,1,0,0,13.25,0,1,High
?,458,No,No,Yes,No,Yes,No,?,2.7,36,1,0,0,14.194444,0,1,High
?,236,Yes,No,Yes,No,Yes,No,?,2.93,22,1,0,0,14.045454,0,0,Low
?,452,No,Yes,Yes,No,Yes,No,?,2.04,33,1,0,0,18.787878,0,1,High
?,340,Yes,No,Yes,Yes,Yes,No,?,3.66,28,1,0,0,13,0,3,High
?,492,No,No,Yes,No,Yes,No,?,2.58,39,1,0,0,12.230769,0,1,Low
?,285,Yes,No,Yes,No,Yes,No,?,2.62,30,1,0,0,11.8,2,0,Low
?,263,No,No,Yes,Yes,Yes,No,?,2.77,28,1,0,0,10.321428,1,1,High
?,245,No,No,Yes,No,Yes,No,?,2.3,23,1,0,0,12.043478,0,0,Low
?,226,No,No,Yes,No,Yes,No,?,2.56,25,1,0,0,16.88,0,1,Low
?,527,No,No,Yes,No,Yes,No,?,2.12,45,1,0,0,12.488888,1,1,Low
?,274,No,No,Yes,Yes,Yes,No,?,3.05,22,1,0,0,15.136363,0,2,High
?,191,No,No,Yes,Yes,Yes,No,?,2.73,16,1,0,0,14.5625,0,1,Low
?,451,Yes,No,Yes,No,Yes,No,?,1.65,43,0.976744,0,0,9.976744,2,2,Low
?,209,Yes,No,No,No,Yes,No,?,2.95,22,0.954545,0,0,11.863636,0,2,Low
?,249,No,No,Yes,No,Yes,No,?,2.13,23,1,0,0,12.47826,1,2,Low
?,99,No,No,Yes,No,Yes,No,?,2.91,10,0.9,0,0,10.4,3,0,High
?,298,No,Yes,Yes,Yes,Yes,No,?,4.22,29,1,0,0,12,0,2,High
?,260,No,No,Yes,Yes,Yes,No,?,3.85,22,1,0,0,11.454545,1,2,High
?,419,No,No,Yes,No,Yes,No,?,1.93,41,0.975609,0,0,13.121951,1,0,Low
?,586,No,No,Yes,No,Yes,Yes,?,1.95,51,1,0,0,13.274509,2,3,Low
Y,329,No,No,Yes,Yes,Yes,No,?,3.62,29,1,0,0,12.310344,0,0,High
?,144,Yes,No,No,No,Yes,No,?,2.35,15,1,0,0,11.466666,0,1,Low
?,577,No,No,Yes,No,Yes,Yes,?,2.24,45,1,0,0,10.755555,3,2,High
?,264,Yes,No,Yes,No,Yes,No,?,1.69,24,1,0,0,9.666666,2,2,Low
?,891,No,No,Yes,No,Yes,Yes,?,2,62,1,0,0,15.048387,0,0,Low
?,604,No,No,Yes,No,Yes,No,?,1.84,50,0.98,0,0,13.46,0,1,Low
